POGroup	Pokey (ASN)
17112-1	0000379914
17112-1	0000379915
17112-1	0000379908
17112-1	0000379910
17112-1	0000379905
17112-1	0000379912
17112-1	0000379906
17112-1	0000379917
17112-KC	0000379903
17112-1	0000379893
17112-1	0000379916
17112-1	0000379894
17112-1	0000379901
17112-1	0000379919
17112-1	0000379896
17112-1	0000379895
17112-1	0000379918
17112-1	0000379921
17112-1	0000379898
17112-1	0000379899
17112-1	0000379911
17112-1	0000379907
17112-1	0000366376
17112-1	0000379904
17112-1	0000379900
17112-1	0000379902
17112-1	0000379920
17112-1	0000379913
17112-KC	0000379897
17137-3	0000380732
17137-3	0000380741
17137-3	0000380767
17137-3	0000380768
17137-3	0000380765
17137-3	0000380800
17137-3	0000380686
17137-KC	0000380811
17137-3	0000380775
17137-3	0000380823
17137-3	0000380709
17137-3	0000380759
17137-3	0000380797
17137-3	0000380766
17137-3	0000380761
17137-3	0000380769
17137-3	0000380754
17137-3	0000380764
17137-KC	0000380785
17137-KC	0000380731
17137-3	0000380746
17137-3	0000380716
17137-3	0000380794
17137-3	0000380820
17137-3	0000380793
17137-3	0000380790
17137-3	0000380818
17137-1	0000380698
17137-1	0000380756
17137-1	0000380826
17137-1	0000380827
17137-3	0000380781
17137-3	0000380806
17137-3	0000380735
17137-2	0000380791
17137-3	0000380749
17137-3	0000380821
17137-1	0000380757
17137-3	0000380733
17137-3	0000380815
17137-3	0000380758
17137-3	0000380762
17137-3	0000380707
17137-3	0000380708
17137-3	0000380796
17137-3	0000380801
17137-3	0000380692
17137-3	0000380706
17137-KC	0000380805
17137-1	0000380795
17137-1	0000380825
17137-1	0000380753
17137-3	0000380788
17137-2	0000380705
17137-1	0000380721
17137-3	0000380771
17137-3	0000380777
17137-KC	0000380752
17137-3	0000380773
17137-2	0000380782
17137-1	0000380751
17137-3	0000380740
17137-3	0000380720
17137-KC	0000380787
17137-3	0000380760
17137-KC	0000380813
17137-3	0000380808
17137-KC	0000380830
17137-KC	0000380745
17137-KC	0000380739
17137-3	0000380727
17137-3	0000380690
17137-3	0000380713
17137-2	0000380748
17137-KC	0000380725
17137-3	0000380730
17137-3	0000380803
17137-3	0000380743
17137-2	0000380710
17137-1	0000380802
17137-1	0000380804
17137-1	0000380701
17137-3	0000380770
17137-2	0000380722
17137-1	0000380828
17137-KC	0000380738
17137-KC	0000380737
17137-3	0000380696
17137-2	0000380832
17137-KC	0000380723
17137-KC	0000380784
17137-3	0000380729
17137-3	0000380728
17137-3	0000380776
17137-3	0000380702
17137-3	0000380694
17137-3	0000380688
17137-2	0000380817
17137-2	0000380726
17137-2	0000380816
17137-2	0000380809
17137-3	0000380750
17137-3	0000380712
17137-2	0000380779
17137-3	0000380822
17137-3	0000380799
17137-3	0000380736
17137-3	0000380755
17137-KC	0000380719
17137-KC	0000380742
17137-2	0000380829
17137-2	0000380789
17137-2	0000380819
17137-3	0000380717
17137-1	0000380812
17137-2	0000380697
17137-2	0000380685
17137-2	0000380792
17137-1	0000380691
17137-2	0000380703
17137-KC	0000380747
17137-KC	0000380734
17137-1	0000380699
17137-3	0000380774
17137-3	0000380824
17137-3	0000380798
17137-2	0000380780
17137-3	0000380744
17137-3	0000380700
17137-2	0000380715
17137-2	0000380778
17137-1	0000380763
17137-2	0000380831
17137-2	0000380704
17137-1	0000380714
17137-3	0000380786
17137-2	0000380807
17137-3	0000380810
17137-3	0000380724
17137-1	0000380687
17137-2	0000380718
17137-KC	0000380783
17137-KC	0000380814
17137-3	0000380695
17137-3	0000380711
17137-3	0000380689
17137-3	0000380772
17137-3	0000380693
17105-3	0000379648
17105-2	0000379687
17105-3	0000379543
17105-3	0000379565
17105-3	0000379494
17105-3	0000379641
17105-3	0000379587
17105-3	0000379537
17105-3	0000379495
17105-2	0000379651
17105-2	0000379512
17105-3	0000379696
17105-3	0000379527
17105-3	0000379550
17105-3	0000379606
17105-3	0000379546
17105-3	0000379665
17105-3	0000379573
17105-3	0000379691
17105-2	0000379504
17105-3	0000379701
17105-3	0000379629
17105-3	0000379688
17105-3	0000379714
17105-3	0000379520
17105-3	0000379555
17105-KC	0000379513
17105-3	0000379490
17105-3	0000379632
17105-3	0000379722
17105-1	0000379480
17105-1	0000379541
17105-3	0000379657
17105-3	0000379561
17105-2	0000379676
17105-3	0000379576
17105-3	0000379625
17105-3	0000379716
17105-3	0000379547
17105-3	0000379611
17105-3	0000379522
17105-3	0000379670
17105-3	0000379603
17105-3	0000379524
17105-3	0000379557
17105-3	0000379570
17105-3	0000379602
17105-3	0000379605
17105-2	0000379630
17105-2	0000379551
17105-3	0000379608
17105-3	0000379654
17105-3	0000379491
17105-3	0000379506
17105-1	0000379712
17105-3	0000379505
17105-KC	0000379713
17105-3	0000379661
17105-3	0000379564
17105-1	0000379558
17105-1	0000379534
17105-1	0000379708
17105-3	0000379572
17105-1	0000379679
17105-3	0000379507
17105-3	0000379578
17105-3	0000379659
17105-3	0000379545
17105-1	0000379554
17105-1	0000379703
17105-1	0000379705
17105-2	0000379613
17105-2	0000379592
17105-3	0000379675
17105-3	0000379536
17105-3	0000379533
17105-3	0000379531
17105-3	0000379566
17105-3	0000379656
17105-2	0000379549
17105-3	0000379674
17105-3	0000379510
17105-3	0000379516
17105-3	0000379626
17105-3	0000379532
17105-3	0000379582
